idx,venue_capacity,venue_name,venue_fuzzwuzz_score,venue_city,venue_country,venue_lat,venue_long,venue_dist_from_expected,sk_popularity,last_time_played,days_since_last_played,total_times_played_locally
5395,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,0.007005,2014-05-08,2028,3
5396,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,,,,0
5397,,Poppodium Q-Factory,0,,,,,,0.002616,,,0
5398,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.002453,2016-10-31,1121,1
5399,5500,AFAS Live,100,Amsterdam,Netherlands,52.31216,4.94467,0.04176316761981786,0.069727,2016-11-25,1096,7
5400,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.005798,,,0
5401,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.000141,,,0
5402,,Der Aa-theater,100,Groningen,Netherlands,53.21747,6.56236,0.057734913855532505,0.001443,,,0
5403,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.007812,2019-03-04,268,1
5404,975,"Grote Zaal, Patronaat",100,Haarlem,Netherlands,52.3829148,4.6289243,0.061120457760119026,,,,0
5405,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.004829,2017-10-15,773,4
5407,1500,Paradiso Grote Zaal,100,Amsterdam,Netherlands,52.36228,4.88395,0.001302886576930846,0.006675,2017-11-09,748,4
5408,,Spot / De Oosterpoort,100,Groningen,Netherlands,53.21436,6.57557,0.021788241939525756,0.001418,2018-05-19,557,1
5409,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,8.061522996477105,0.024248,2013-04-21,2411,1
5410,,Maassilo,100,Rotterdam,Netherlands,51.8969819,4.4902927,2.9887297230272316,0.026647,,,0
5411,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.294538,2011-06-24,3079,3
5412,250,Melkweg Upstairs,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.003958,2019-05-12,200,4
5413,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.294538,,,0
5414,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.003527,,,0
5415,1500,Effenaar Grote Zaal,100,Eindhoven,Netherlands,51.4415623,5.4833792,0.01680529741034607,0.007182,2017-11-12,746,1
5416,700,Gebr. de Nobel,100,Leiden,Netherlands,52.16307,4.4885,0.0,0.004747,2018-11-04,389,9
5417,975,"Grote Zaal, Patronaat",100,Haarlem,Netherlands,52.3829148,4.6289243,0.08146821030472554,0.025234,2018-10-23,401,22
5418,250,Hall of Fame,100,Tilburg,Netherlands,51.56166,5.08599,0.2535926122865675,0.001527,2019-04-11,231,10
5419,975,"Grote Zaal, Patronaat",100,Haarlem,Netherlands,52.3829148,4.6289243,0.08146821030472554,,2019-05-03,209,7
5420,,Spot / De Oosterpoort,100,Groningen,Netherlands,53.21436,6.57557,0.021788241939525756,,2010-05-01,3498,2
5421,,De Helling,100,Utrecht,Netherlands,52.07704,5.12194,0.023623349625814503,,,,0
5422,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.066862,2019-02-18,283,11
5423,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,8.061522996477105,0.004136,2019-06-30,151,21
5424,1500,Paradiso Grote Zaal,100,Amsterdam,Netherlands,52.36228,4.88395,0.001302886576930846,0.001807,2019-09-20,69,67
5425,,Der Aa-theater,100,Groningen,Netherlands,53.21747,6.56236,0.057734913855532505,0.001736,2018-11-23,370,11
5426,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.001375,,,0
5427,700,Gebr. de Nobel,100,Leiden,Netherlands,52.16307,4.4885,0.0,0.000277,2019-04-05,238,52
5428,250,Melkweg Upstairs,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.000146,,,0
5429,5500,AFAS Live,100,Amsterdam,Netherlands,52.31216,4.94467,0.04176316761981786,0.015998,2018-10-29,396,22
5430,975,"Grote Zaal, Patronaat",100,Haarlem,Netherlands,52.3829148,4.6289243,0.08146821030472554,,2017-11-02,757,5
